"","V161086","V161087","V161092","V161093","V161095","V161096","V161158x","V161267","V161270","V161310b","V161310c","V161310d","V161310e","V161310f","V161342","V161361x","V162031x","V162034a","V162078","V162079","V162171","V162239","V162240","V162241","V162242","V162333","V162334","V162335","V162336","V162337","V162338","V162339","V162340","V162341","V162342"
"3108",0,30,60,50,50,50,4,22,10,0,0,0,0,0,1,7,1,3,0,70,4,2,2,2,2,7,1,7,1,7,1,7,7,7,7
"3109",85,0,95,92,85,15,2,31,10,0,0,0,0,0,2,14,1,1,85,16,2,2,2,2,1,2,5,7,2,2,5,6,5,5,3
"3110",30,85,70,30,40,60,4,56,16,0,0,0,0,0,2,1,1,9,31,86,2,2,2,1,2,7,5,7,3,7,6,6,3,7,3
"3111",60,1,65,51,61,41,2,33,10,0,1,0,0,0,1,12,1,4,51,15,4,2,2,1,1,7,3,7,2,6,4,7,1,7,1
"3112",70,3,41,86,86,62,2,56,11,1,0,0,0,0,2,9,1,1,62,71,4,2,2,1,2,3,7,7,1,7,6,7,2,6,6
"3113",60,0,85,60,70,15,3,20,9,0,0,1,0,0,2,1,1,1,84,0,2,2,1,2,1,4,5,5,4,5,5,5,3,4,4
"3114",31,1,72,59,1,0,2,27,9,1,0,0,0,0,1,14,-1,-1,45,11,1,1,1,2,1,5,3,4,4,5,4,5,5,6,3
"3115",85,0,100,70,85,15,1,72,16,0,0,0,0,0,1,21,-1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"3116",2,85,2,41,32,71,5,61,12,0,0,0,0,0,2,24,-1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"3117",60,2,71,60,78,17,2,48,14,0,0,0,0,0,2,25,1,1,60,16,3,2,1,1,1,7,5,7,3,6,2,3,1,4,4
"3118",88,0,98,100,88,1,1,27,8,0,0,0,0,1,1,11,1,1,70,0,4,1,2,1,2,4,4,4,4,4,4,4,4,4,4
"3119",20,20,50,65,20,60,5,26,13,0,0,1,0,0,1,28,0,-1,48,49,4,2,2,2,2,5,2,6,5,7,1,5,5,5,5
"3120",13,69,15,5,15,85,5,81,9,0,0,0,0,0,2,16,1,2,30,60,5,2,1,2,1,6,2,7,3,6,7,7,2,6,3
"3121",85,30,85,70,100,70,2,60,10,0,0,0,0,0,2,21,1,1,70,15,3,2,2,1,1,3,1,7,2,2,5,7,1,6,2
"3122",60,40,70,30,50,51,4,89,10,0,0,0,0,0,2,-9,1,-9,24,44,99,1,2,2,1,4,5,7,5,3,4,7,1,5,3
"3123",0,100,1,0,0,100,7,74,95,0,0,0,0,0,2,10,1,2,1,100,6,2,2,1,1,5,1,7,4,4,2,6,2,6,2
"3124",71,31,40,51,51,50,4,64,10,0,0,0,0,1,1,14,1,1,61,3,5,2,2,1,1,6,2,7,2,6,6,6,1,7,1
"3125",30,85,37,58,26,73,7,45,10,0,0,0,0,0,2,14,1,2,40,70,6,2,2,2,1,7,1,7,1,7,1,7,1,7,1
"3126",0,85,16,15,1,70,7,81,13,0,0,0,0,0,1,18,1,2,1,100,7,2,2,1,1,6,7,6,1,4,1,5,6,7,6
"3127",0,0,70,15,15,0,4,22,12,1,0,0,0,0,1,5,0,-1,-9,0,4,2,2,1,2,1,6,7,1,7,7,7,5,7,4
"3128",4,31,16,3,30,43,5,43,9,0,0,0,0,0,1,16,-1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"3129",100,41,87,86,100,17,2,71,10,0,0,0,0,0,2,12,1,1,100,0,99,2,2,2,2,6,1,6,1,6,2,7,1,7,4
"3130",40,61,85,50,61,16,4,66,9,0,0,0,0,0,1,9,0,-1,40,61,5,2,2,2,1,4,4,4,4,4,5,5,4,5,3
"3131",0,85,0,0,0,85,7,56,9,0,0,0,0,0,2,27,1,2,0,89,6,2,2,1,1,6,2,6,3,5,5,6,3,5,3
"3132",0,85,40,15,50,50,6,66,13,0,1,0,0,0,2,-9,1,2,0,70,4,2,1,2,1,4,3,6,4,6,4,6,2,6,4
"3133",70,0,85,70,85,50,1,57,16,0,0,0,0,0,2,27,1,-1,60,0,4,1,2,2,2,5,2,7,2,5,5,4,1,4,1
"3134",15,85,0,30,30,85,2,77,6,0,0,0,0,0,2,7,1,2,15,100,4,2,2,1,1,4,4,3,5,3,4,5,5,4,3
"3135",15,50,15,30,30,70,7,33,13,0,0,0,0,0,2,15,1,2,15,60,6,2,2,1,1,6,2,6,5,5,2,7,6,5,3
"3136",15,85,30,15,40,85,6,30,14,0,0,0,0,0,2,22,1,2,30,85,5,2,2,1,1,7,2,7,2,6,2,7,2,6,2
"3137",30,70,20,20,40,80,6,50,10,0,0,0,0,0,1,15,0,-1,30,80,4,2,2,2,1,5,2,6,5,6,6,6,2,7,1
"3138",0,0,85,85,50,0,2,25,9,0,1,0,0,0,2,6,-1,-1,70,0,99,2,2,2,1,4,4,4,4,4,4,4,4,4,4
"3139",0,0,30,0,30,30,4,64,10,0,0,0,0,0,2,16,1,2,1,60,3,2,2,1,1,5,2,6,2,6,6,7,1,7,6
"3140",40,0,70,70,71,37,3,-9,14,0,0,0,0,0,1,11,1,1,43,12,3,1,1,2,2,5,2,7,3,5,5,6,1,7,4
"3141",86,2,95,98,85,1,1,37,10,1,0,0,0,0,1,17,1,1,70,1,3,2,2,1,2,4,4,4,4,4,4,4,4,4,4
"3142",29,60,84,36,54,57,5,20,11,0,0,0,0,0,2,8,1,2,15,85,99,2,2,1,2,1,3,6,2,4,3,5,3,4,4
"3143",30,70,60,15,15,60,6,70,13,1,0,0,0,0,2,19,1,2,30,70,6,2,2,1,2,4,2,6,1,4,4,7,1,7,4
"3144",30,60,80,70,60,40,2,23,9,0,0,0,0,0,1,6,-1,-1,31,61,4,1,2,2,1,4,4,4,4,4,4,4,4,4,4
"3145",78,21,82,88,83,62,3,42,13,0,0,0,0,0,1,10,1,1,86,33,4,2,2,2,1,4,5,6,2,6,1,6,1,6,4
"3146",70,1,81,84,67,55,3,36,9,0,0,0,0,0,2,14,0,-1,56,24,4,2,2,2,2,5,2,5,3,5,3,5,2,5,2
"3147",0,100,0,0,0,100,7,80,13,0,0,0,0,0,1,7,-1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"3148",70,0,0,20,85,50,3,30,7,0,0,0,0,0,2,2,0,-1,0,70,99,2,2,1,2,6,5,6,4,6,1,4,4,4,4
"3149",70,1,85,60,70,30,1,50,13,0,0,1,0,0,2,3,1,1,85,0,4,2,1,2,1,4,6,6,4,6,7,6,3,6,2
"3150",70,15,74,86,84,52,-9,55,10,1,0,0,0,0,1,12,0,-1,60,15,99,2,2,1,1,6,5,7,1,6,7,6,1,7,1
"3151",50,2,85,70,71,0,2,70,13,0,0,0,0,0,1,27,1,1,32,42,5,1,1,2,2,5,2,7,2,6,4,2,2,5,2
"3152",75,0,100,85,85,0,1,74,16,0,0,0,0,0,1,28,1,1,71,1,2,1,1,2,1,4,2,7,4,6,5,6,3,6,2
"3153",35,10,25,40,21,40,5,37,16,0,0,0,0,0,1,28,1,1,32,30,6,2,1,2,1,2,3,6,3,6,7,3,1,5,2
"3154",4,39,0,2,3,10,1,75,9,0,0,0,0,0,2,11,1,2,0,55,4,2,2,1,2,1,1,6,4,4,4,5,2,6,4
"3155",85,0,100,70,85,40,1,69,14,1,0,0,0,0,2,17,1,1,69,20,3,2,1,2,1,5,4,6,4,5,5,6,2,6,4
"3156",11,50,5,5,15,33,5,82,10,0,0,0,0,0,1,7,1,2,1,70,6,1,1,2,1,7,1,6,5,5,2,6,2,4,4
"3157",0,90,0,0,0,90,7,70,14,0,0,0,0,0,1,15,1,2,1,84,6,1,1,2,1,7,2,7,1,7,2,6,1,6,2
"3158",0,100,0,0,0,0,4,25,11,0,0,0,0,0,1,21,0,-1,0,83,5,2,1,1,1,5,4,6,3,6,6,4,2,6,5
"3159",60,0,85,60,70,15,6,39,13,0,0,0,0,0,2,21,1,5,60,0,4,2,2,1,1,7,1,6,2,6,4,6,1,7,1
"3160",70,9,71,84,51,50,3,25,13,0,0,0,0,0,2,14,1,1,86,16,3,1,1,2,1,6,2,6,2,6,4,6,4,6,4
"3161",1,55,4,66,32,18,2,42,12,0,0,0,0,0,2,12,1,2,15,60,99,2,2,1,1,4,3,5,4,4,4,5,3,4,4
"3162",71,2,87,86,71,42,1,76,9,1,0,0,0,0,2,2,1,1,100,15,99,2,2,2,1,6,5,7,2,5,4,6,2,3,4
"3163",0,60,15,15,15,60,6,-9,10,0,0,0,0,0,2,-9,1,2,3,60,5,2,1,2,1,6,1,7,2,4,4,6,1,5,4
"3164",15,85,15,15,30,60,7,56,9,0,0,0,0,0,2,14,-1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"3165",41,40,61,50,51,50,4,63,14,0,0,0,0,0,2,23,1,1,85,15,3,2,1,2,1,6,1,6,2,6,3,7,1,6,2
"3166",60,30,85,15,50,50,4,43,4,0,0,0,0,1,1,12,0,-1,50,75,4,2,2,1,2,7,5,7,6,5,1,7,1,6,2
"3167",15,70,0,15,30,60,4,68,9,0,0,0,0,0,2,-9,0,-1,15,70,99,2,1,2,1,6,1,7,2,5,6,6,1,6,4
"3168",50,15,60,60,50,60,5,65,14,0,0,0,0,0,1,27,1,3,40,15,4,2,1,2,1,3,3,7,2,6,6,6,2,7,6
"3169",15,70,15,30,15,60,7,87,9,0,0,0,0,0,1,15,1,2,15,85,6,2,2,1,1,6,3,7,2,5,5,6,3,6,5
"3170",30,70,40,60,40,60,5,45,13,0,0,0,0,0,1,20,1,2,30,60,4,1,2,2,1,2,5,6,2,4,6,4,2,7,4
"3171",40,0,60,50,30,0,3,34,13,0,0,0,0,0,1,26,1,1,40,16,2,1,1,2,1,6,5,4,4,6,3,6,4,5,4
"3172",0,0,0,60,15,15,4,43,10,0,0,0,0,1,1,14,1,2,15,30,3,2,1,1,1,4,5,6,5,6,6,6,3,5,3
"3173",70,0,85,70,70,15,1,55,14,0,0,0,0,0,2,-9,1,1,70,0,2,2,1,2,1,5,2,6,5,6,5,6,2,6,2
"3174",50,60,40,4,18,35,2,65,9,0,0,0,0,0,2,11,1,2,33,55,4,2,2,2,1,6,6,6,7,6,5,6,3,6,3
"3175",30,71,1,15,32,75,7,40,11,0,0,0,0,0,1,21,1,2,2,99,6,2,2,2,2,2,1,7,4,6,1,6,1,6,1
